tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""51059480302""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,4065.00,1527.00,2676.77,56,70,90,42,53,69,14,17,20,6.20,4.28,1.98,2,2,16995,16704,16125,6,6,6,14622,14355,13289,12439,12209,11219,2070,2034,1963,113,112,107,73,72,69,,,,0.57,25799,86,64860,70,47,,,3742,4001,1596,86,14
"""51059480401""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,4822.00,1453.00,2173.32,59,73,94,44,55,73,15,18,22,8.04,5.38,2.12,2,2,18447,17971,17209,3,3,3,15618,15267,14025,13323,13030,11882,2247,2189,2095,48,48,48,31,31,31,,,,0.67,19923,100,32326,73,66,,,3937,4001,2033,95,5
"""51059480402""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,5162.00,1795.00,5205.94,58,73,93,43,54,71,15,19,22,8.40,3.03,2.18,2,2,19905,19398,18625,2,2,2,16147,15816,14593,13683,13414,12288,2424,2363,2268,39,39,38,25,25,24,,,,0.34,18148,99,25006,75,128,,,3828,4001,600,92,8
"""51059480501""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,2969.00,958.00,1245.48,53,65,84,37,47,61,15,19,22,8.22,8.61,2.19,2,2,19244,18749,17987,3,3,3,16135,15809,14592,13741,13475,12353,2344,2284,2190,50,50,49,32,32,32,,,,0.77,23751,100,33670,74,26,,,3312,3435,,97,3
"""51059480502""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,6340.00,1827.00,742.71,45,56,71,30,38,49,15,18,22,9.04,24.20,2.16,2,2,18721,18239,17499,3,3,3,15862,15548,14368,13530,13275,12186,2280,2222,2130,52,52,51,34,34,33,,,,2.46,26482,95,40237,74,15,,,2664,2656,1429,91,9
"""51059480503""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,3312.00,1151.00,524.62,47,58,74,33,41,53,14,17,21,7.68,16.93,2.03,2,2,16849,16407,15681,4,4,4,14896,14577,13416,12770,12504,11433,2052,1998,1909,74,75,74,48,48,48,,,,2.19,28585,78,52311,72,20,,,2895,2922,1684,96,4
"""51059480504""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1825.00,737.00,361.19,44,55,71,32,40,52,13,15,18,6.69,13.65,1.81,2,2,15799,15387,14756,4,4,4,13349,13047,12008,11346,11094,10132,1924,1874,1797,78,79,79,51,51,51,,,,2.04,27063,45,43275,72,16,,,2825,3203,1723,75,25
"""51059480505""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,2956.00,1429.00,327.70,36,45,57,25,31,41,11,14,16,5.24,23.94,1.61,2,2,13361,13006,12471,6,6,6,11847,11581,10685,10115,9891,9061,1627,1584,1518,104,106,106,67,68,68,,,,4.36,31451,13,69706,71,18,,,2219,2667,2006,56,44
"""51059480801""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,6087.00,1819.00,574.71,41,51,65,27,34,44,14,17,21,7.90,30.53,2.01,2,2,17198,16747,16086,5,5,5,14818,14549,13531,12640,12426,11490,2095,2040,1958,83,83,82,53,54,53,,,,3.17,29043,39,56326,72,10,,,2378,2554,1799,78,22
"""51059480802""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,4145.00,1360.00,642.28,40,50,63,28,35,45,12,15,18,6.51,13.75,1.78,2,2,14107,13731,13177,5,5,5,12955,12672,11683,11149,10910,9990,1718,1672,1604,88,89,89,57,58,58,,,,2.12,31053,53,74020,71,19,,,2461,2006,595,61,39
"""51059480901""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",4.00,6185.00,1764.00,675.03,39,49,62,25,31,41,14,17,21,6.24,17.65,2.04,2,2,17223,16774,16129,4,4,4,15004,14727,13681,12833,12610,11644,2098,2043,1964,73,73,73,47,47,47,,,,2.61,28683,55,63036,73,17,,,2214,2317,1481,74,26
