"","geoid","year","NAME","measure","region_type","value"
"194",51059452200,2021,"Census Tract 4522, Fairfax County, Virginia","ays_index","tract",0.46962576875679
"195",51059452301,2021,"Census Tract 4523.01, Fairfax County, Virginia","ays_index","tract",0.439351173121407
"196",51059452302,2021,"Census Tract 4523.02, Fairfax County, Virginia","ays_index","tract",0.409342047400437
"197",51059452400,2021,"Census Tract 4524, Fairfax County, Virginia","ays_index","tract",0.503107735232553
"198",51059452501,2021,"Census Tract 4525.01, Fairfax County, Virginia","ays_index","tract",0.506403138996255
"199",51059452502,2021,"Census Tract 4525.02, Fairfax County, Virginia","ays_index","tract",0.456855607057032
"200",51059452600,2021,"Census Tract 4526, Fairfax County, Virginia","ays_index","tract",0.582119499613697
"201",51059452700,2021,"Census Tract 4527, Fairfax County, Virginia","ays_index","tract",0.482867592113826
"202",51059452801,2021,"Census Tract 4528.01, Fairfax County, Virginia","ays_index","tract",0.541345531070402
"203",51059452802,2021,"Census Tract 4528.02, Fairfax County, Virginia","ays_index","tract",0.600989338811591
"204",51059460100,2021,"Census Tract 4601, Fairfax County, Virginia","ays_index","tract",0.756737442895406
"205",51059460200,2021,"Census Tract 4602, Fairfax County, Virginia","ays_index","tract",0.779941754069725
"206",51059460300,2021,"Census Tract 4603, Fairfax County, Virginia","ays_index","tract",0.761627156267949
"207",51059460400,2021,"Census Tract 4604, Fairfax County, Virginia","ays_index","tract",0.761551527476432
"208",51059460501,2021,"Census Tract 4605.01, Fairfax County, Virginia","ays_index","tract",0.715465780093111
"209",51059460503,2021,"Census Tract 4605.03, Fairfax County, Virginia","ays_index","tract",0.66628269855408
"210",51059460504,2021,"Census Tract 4605.04, Fairfax County, Virginia","ays_index","tract",0.662415599336547
"211",51059460600,2021,"Census Tract 4606, Fairfax County, Virginia","ays_index","tract",0.727715734646244
"212",51059460701,2021,"Census Tract 4607.01, Fairfax County, Virginia","ays_index","tract",0.631595928084006
"213",51059460702,2021,"Census Tract 4607.02, Fairfax County, Virginia","ays_index","tract",0.728902574448706
"214",51059460800,2021,"Census Tract 4608, Fairfax County, Virginia","ays_index","tract",0.679690409383587
"215",51059460900,2021,"Census Tract 4609, Fairfax County, Virginia","ays_index","tract",0.736022869394056
